Unnamed: 0,Sl. No.,Project,Cell Name,Test Protocol,Temperature (℃),Pressure (PSI),Tester (Aging),Neware Rack,Channel,Start Date (Aging),Last Updated,Removal Date,User,Remarks,X2,X1,C,Temperature (C),combined,Channel Number,Log Consistency
214,215,GMFEB23S,44,1A,25,15,L-Arbin,,1,5/31/2023,9/6/2023 20:49,,,,1.747880155,-29.3363606,150.0197734,,,,Not in log file
215,216,GMFEB23S,44,Formation,,15,R-Arbin,,60,3/21/2023,9/6/2023 20:49,3/28/2023,,,1.902000379,-31.69755459,158.9621123,25,,,Not in log file
271,272,GMFEB23S,45,Formation,,10,R-Arbin,,59,3/21/2023,9/7/2023 21:20,3/28/2023,,,1.930087506,-31.92672574,158.9450991,25,,,Not in log file
395,396,UMBL2022FEB,152078,Formation,,5,R-Arbin,,59,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.930087506,-31.92672574,158.9450991,25,,,Not in log file
441,442,UMBL2022FEB,152052,Formation,,5,R-Arbin,,59,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.930087506,-31.92672574,158.9450991,25,,,Not in log file
270,271,GMFEB23S,45,13,45,15,Neware,34,3414,,9/7/2023 21:20,,,,1.838233259,-30.54399842,153.7677742,,3414,3414,Not in log file
342,343,GMFEB23S,46,18,25,15,L-Arbin,,6,5/31/2023,9/6/2023 19:49,,,,1.95066249,-32.20027614,159.8110762,,,,Not in log file
343,344,GMFEB23S,46,Formation,,15,R-Arbin,,58,3/21/2023,9/6/2023 19:49,3/28/2023,,,1.921167617,-31.83713196,158.7861617,25,,,Not in log file
363,364,UMBL2022FEB,152096,Formation,,5,R-Arbin,,60,6/16/2023,9/6/2023 11:05,6/23/2023,,,1.902000379,-31.69755459,158.9621123,25,,,Not in log file
457,458,UMBL2022FEB,152042,Formation,,5,R-Arbin,,60,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.902000379,-31.69755459,158.9621123,25,,,Not in log file
7,8,GMJULY2022,102,Formation,,,R-Arbin,,61,7/11/2022,8/21/2023 23:41,7/15/2022,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
267,268,GMFEB23S,47,Formation,,25,R-Arbin,,57,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.796521968,-29.91984024,151.4679867,25,,,Not in log file
266,267,GMFEB23S,47,,,,,,3631,,4/10/2023 14:49,,,,1.818920715,-29.70703504,148.1854457,,,,Not in log file
265,266,GMFEB23S,48,Formation,,15,R-Arbin,,61,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
389,390,UMBL2022FEB,152083,Formation,,5,R-Arbin,,61,6/16/2023,6/23/2023 13:10,6/23/2023,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
431,432,UMBL2022FEB,152057,Formation,,5,R-Arbin,,61,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
15,16,GMJULY2022,98,Formation,,,R-Arbin,,62,7/11/2022,9/6/2023 20:49,7/15/2022,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
264,265,GMFEB23S,48,,,,,,,,4/10/2023 14:49,,,,,,,,,,Not in log file
263,264,GMFEB23S,49,Formation,,15,R-Arbin,,62,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
262,263,GMFEB23S,49,,,,,,3532,,4/10/2023 14:49,,,,2.052698233,-33.41359624,162.8416544,,,,Not in log file
421,422,UMBL2022FEB,152062,Formation,,5,R-Arbin,,62,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
465,466,UMBL2022FEB,152033,Formation,,5,R-Arbin,,62,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
261,262,GMFEB23S,50,Formation,,15,R-Arbin,,64,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.907836086,-31.70799028,158.653875,25,,,Not in log file
260,261,GMFEB23S,50,,,,,,,,4/10/2023 14:49,,,,,,,,,,Not in log file
367,368,UMBL2022FEB,152094,Formation,,5,R-Arbin,,63,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.785130729,-29.80067662,151.2604771,25,,,Not in log file
371,372,UMBL2022FEB,152092,Formation,,5,R-Arbin,,63,6/16/2023,6/23/2023 12:04,6/23/2023,,Formed and unaged. In fire cabinet,1.785130729,-29.80067662,151.2604771,25,,,Not in log file
27,28,GMJULY2022,92,Formation,,,R-Arbin,,64,7/11/2022,6/26/2023 3:07,7/15/2022,,,1.907836086,-31.70799028,158.653875,25,,,Not in log file
298,299,GMFEB23S,51,3,25,15,L-Arbin,,25,5/31/2023,9/6/2023 14:02,,,,1.774076138,-29.73437333,151.510467,,,,Not in log file
299,300,GMFEB23S,51,Formation,,15,R-Arbin,,61,4/11/2023,9/6/2023 14:02,4/18/2023,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
257,258,GMFEB23S,52,Formation,,15,R-Arbin,,63,4/11/2023,9/7/2023 21:20,4/18/2023,,,1.785130729,-29.80067662,151.2604771,25,,,Not in log file
447,448,UMBL2022FEB,152049,Formation,,5,R-Arbin,,64,6/16/2023,6/23/2023 12:05,6/23/2023,,Formed and unaged. In fire cabinet,1.907836086,-31.70799028,158.653875,25,,,Not in log file
455,456,UMBL2022FEB,152045,Formation,,5,R-Arbin,,64,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.907836086,-31.70799028,158.653875,25,,,Not in log file
156,157,GMJULY2022,27,3,45,5,Neware,34,3411,10/18/2022,8/18/2023 13:17,8/29/2023,,,1.940199492,-31.59369416,155.4718622,,3411,3411,
256,257,GMFEB23S,52,15,45,15,Neware,35,3511,,9/7/2023 21:20,,,,1.962566526,-31.83076341,155.9558406,,3511,3511,Not in log file
10,11,GMJULY2022,100,3,45,5,Neware,34,3412,10/18/2022,8/18/2023 13:17,8/29/2023,,,2.083720975,-33.85139484,164.3671028,,3412,3412,
272,273,GMFEB23S,53,5,25,15,L-Arbin,,20,5/31/2023,9/6/2023 20:49,,,,1.892163513,-31.45986318,157.6454768,,,,Not in log file
90,91,GMJULY2022,60,3,45,5,Neware,34,3413,10/18/2022,8/18/2023 13:17,8/29/2023,,,1.839099659,-30.17840827,150.6639166,,3413,3413,
273,274,GMFEB23S,53,Formation,,15,R-Arbin,,64,4/11/2023,9/6/2023 20:49,4/18/2023,,,1.907836086,-31.70799028,158.653875,25,,,Not in log file
70,71,GMJULY2022,70,5,45,15,Neware,34,3414,10/18/2022,8/18/2023 13:29,8/29/2023,,,1.838233259,-30.54399842,153.7677742,,3414,3414,
228,229,GMFEB23S,54,2,25,15,L-Arbin,,12,5/31/2023,9/6/2023 20:49,,,,1.818841198,-30.34961127,153.5377252,,,,Not in log file
8,9,GMJULY2022,101,5,45,15,Neware,34,3415,10/18/2022,8/18/2023 13:34,8/29/2023,,,2.135340203,-34.53320829,166.5031318,,3415,3415,
229,230,GMFEB23S,54,Formation,,15,R-Arbin,,62,4/11/2023,9/6/2023 20:49,4/18/2023,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
146,147,GMJULY2022,32,5,45,15,Neware,34,3416,10/18/2022,8/18/2023 13:34,8/29/2023,,,1.945746735,-31.85738433,157.275731,,3416,3416,
275,276,GMFEB23S,55,Formation,,15,R-Arbin,,47,4/11/2023,9/6/2023 20:49,4/18/2023,,,1.852667795,-30.84577741,155.2861083,25,,,Not in log file
62,63,GMJULY2022,74,5,45,25,Neware,34,3417,10/18/2022,8/18/2023 13:34,8/29/2023,,,2.032425524,-32.89239506,159.9420646,,3417,3417,
274,275,GMFEB23S,55,7,25,15,L-Arbin,,21A,5/31/2023,9/6/2023 20:49,,,,1.635560182,-27.64028318,143.5395099,,,,Not in log file
190,191,GMJULY2022,10,5,45,25,Neware,34,3418,10/18/2022,8/18/2023 13:30,8/29/2023,,,2.227709908,-35.32983769,166.9700278,,3418,3418,
249,250,GMFEB23S,56,Formation,,15,R-Arbin,,46,4/11/2023,4/24/2023 12:05,4/18/2023,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
94,95,GMJULY2022,58,5,45,25,Neware,34,3421,10/18/2022,8/18/2023 17:32,8/29/2023,,,2.22520306,-35.98320377,172.4369623,,3421,3421,
248,249,GMFEB23S,56,,,,,,3642,,4/24/2023 12:05,,,,1.658068541,-27.42317849,140.2527737,,,,Not in log file
92,93,GMJULY2022,59,7A,45,5,Neware,34,3422,10/18/2022,8/18/2023 17:32,,,,2.242658833,-36.53627972,175.7363017,,3422,3422,
198,199,GMJULY2022,6,7B,45,5,Neware,34,3423,10/18/2022,8/18/2023 17:32,8/29/2023,,,2.506616217,-40.2048805,188.1570383,,3423,3423,
247,248,GMFEB23S,57,Formation,,15,R-Arbin,,45,4/11/2023,9/7/2023 21:20,4/18/2023,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
12,13,GMJULY2022,99,7A,45,5,Neware,34,3424,10/18/2022,8/18/2023 17:32,,,,,,,,3424,3424,
32,33,GMJULY2022,89,7B,45,5,Neware,34,3425,10/18/2022,8/18/2023 17:32,,,,,,,,3425,3425,
2,3,GMJULY2022,104,7A,45,5,Neware,34,3426,10/18/2022,8/18/2023 17:32,,,,,,,,3426,3426,
136,137,GMJULY2022,37,7B,45,5,Neware,34,3427,10/18/2022,8/18/2023 17:32,,,,,,,,3427,3427,
144,145,GMJULY2022,33,8A,45,5,Neware,34,3428,10/18/2022,8/18/2023 17:32,,,,,,,,3428,3428,
172,173,GMJULY2022,19,8B,45,5,Neware,34,3431,10/18/2022,8/18/2023 17:32,,,,1.468070661,-24.69832302,130.4842648,,3431,3431,
132,133,GMJULY2022,39,8C,45,5,Neware,34,3432,10/18/2022,8/18/2023 17:32,,,,1.588624799,-26.55212305,137.580573,,3432,3432,
28,29,GMJULY2022,91,8A,45,5,Neware,34,3433,10/18/2022,8/18/2023 17:32,,,,1.673699766,-27.62850927,140.7723275,,3433,3433,
96,97,GMJULY2022,57,8B,45,5,Neware,34,3434,10/18/2022,8/18/2023 13:30,,,,,,,,3434,3434,
22,23,GMJULY2022,94,8C,45,5,Neware,34,3435,10/18/2022,8/18/2023 17:32,,,,1.846751334,-30.28105403,150.9225151,,3435,3435,
38,39,GMJULY2022,86,9,45,25,Neware,34,3436,10/18/2022,8/18/2023 17:32,,,,1.647584396,-27.36549995,140.4772433,,3436,3436,
74,75,GMJULY2022,68,9,45,25,Neware,34,3437,10/18/2022,8/18/2023 17:32,,,,1.623477317,-26.81530874,137.4740048,,3437,3437,
26,27,GMJULY2022,92,12,25,C,Neware,34,3438,10/18/2022,6/26/2023 3:07,,,,,,,,3438,3438,
182,183,GMJULY2022,14,12,25,C,Neware,34,3441,2/9/2023,6/26/2023 2:36,,,,,,,,3441,3441,
64,65,GMJULY2022,73,12,45,C,Neware,34,3442,12/1/2022,6/26/2023 0:43,,,Unallocated,,,,,3442,3442,
104,105,GMJULY2022,53,12,45,C,Neware,34,3443,12/8/2022,5/3/2023 18:31,,,,,,,,3443,3443,
458,459,UMBL2022FEB,152041,14,45,5,Neware,34,3444,9/9/2022,8/18/2023 17:32,,,,1.806653301,-30.12265686,152.3886343,,3444,3444,
452,453,UMBL2022FEB,152046,3,45,5,Neware,34,3445,9/9/2022,8/18/2023 17:32,,,,,,,,3445,3445,
430,431,UMBL2022FEB,152057,3,45,5,Neware,34,3446,9/9/2022,8/18/2023 17:32,,,,,,,,3446,3446,
394,395,UMBL2022FEB,152078,3,45,5,Neware,34,3447,9/9/2022,8/18/2023 17:32,,,,,,,,3447,3447,
464,465,UMBL2022FEB,152033,10,45,5,Neware,34,3448,9/9/2022,8/18/2023 17:32,,,,,,,,3448,3448,
124,125,GMJULY2022,43,12,45,?,Neware,35,3511,,6/26/2023 0:53,,,,1.962566526,-31.83076341,155.9558406,,3511,3511,Not in log file
246,247,GMFEB23S,57,14,45,15,Neware,34,3416,,9/7/2023 21:20,,,,1.945746735,-31.85738433,157.275731,,3416,3416,Not in log file
378,379,UMBL2022FEB,152088,14,45,5,Neware,35,3512,9/9/2022,8/18/2023 13:29,,,,,,,,3512,3512,
462,463,UMBL2022FEB,152036,10,45,5,Neware,35,3513,9/9/2022,8/18/2023 17:32,,,,,,,,3513,3513,
386,387,UMBL2022FEB,152084,11,45,5,Neware,35,3514,9/9/2022,8/18/2023 17:32,,,,,,,,3514,3514,
384,385,UMBL2022FEB,152085,11,45,5,Neware,35,3515,9/9/2022,8/7/2023 15:59,,,,,,,,3515,3515,
450,451,UMBL2022FEB,152047,11,45,5,Neware,35,3517,9/9/2022,8/18/2023 17:32,,,,,,,,3517,3517,
448,449,UMBL2022FEB,152048,17,45,5,Neware,35,3518,9/9/2022,8/18/2023 17:32,,,,,,,,3518,3518,
404,405,UMBL2022FEB,152072,18,0,5,Neware,35,3525,9/9/2022,9/7/2023 21:50,,,,,,,,3525,3525,
152,153,GMJULY2022,29,5,0,25,Neware,35,3531,10/18/2022,7/11/2023 11:16,,,,2.080238344,-33.67300706,163.1608555,,3531,3531,
80,81,GMJULY2022,65,7A,0,5,Neware,35,3532,10/18/2022,7/11/2023 11:16,,,,2.052698233,-33.41359624,162.8416544,,3532,3532,
166,167,GMJULY2022,22,7B,0,5,Neware,35,3533,10/18/2022,7/11/2023 11:16,,,,1.997124226,-32.50425224,159.1341754,,3533,3533,
204,205,GMJULY2022,3,7A,0,5,Neware,35,3534,10/18/2022,8/30/2023 8:50,,,,2.024247224,-33.22864439,163.2500462,,3534,3534,
196,197,GMJULY2022,7,7B,0,5,Neware,35,3535,10/18/2022,9/6/2023 20:34,,,,2.050910464,-33.19173524,161.1776621,,3535,3535,
6,7,GMJULY2022,102,7A,0,5,Neware,35,3536,10/18/2022,8/21/2023 23:41,,,,2.050898835,-33.27757078,161.9763773,,3536,3536,
160,161,GMJULY2022,25,7B,0,5,Neware,35,3537,10/18/2022,9/6/2023 20:34,,,,2.172663669,-34.9928691,167.7683512,,3537,3537,
170,171,GMJULY2022,20,8A,0,5,Neware,35,3538,10/18/2022,9/6/2023 20:39,,,,,,,,3538,3538,
456,457,UMBL2022FEB,152042,15,0,5,Neware,35,3541,9/9/2022,9/7/2023 21:50,,,,,,,,3541,3541,
366,367,UMBL2022FEB,152094,12,0,5,Neware,35,3542,9/9/2022,9/7/2023 21:50,,,,,,,,3542,3542,
454,455,UMBL2022FEB,152045,12,0,5,Neware,35,3543,9/9/2022,9/7/2023 21:50,,,,,,,,3543,3543,
436,437,UMBL2022FEB,152054,13,0,5,Neware,35,3545,9/9/2022,9/7/2023 21:50,,,,,,,,3545,3545,
460,461,UMBL2022FEB,152039,13,0,5,Neware,35,3546,9/9/2022,9/7/2023 21:50,,,,,,,,3546,3546,
416,417,UMBL2022FEB,152065,13,0,5,Neware,35,3547,9/9/2022,9/7/2023 21:50,,,,,,,,3547,3547,
186,187,GMJULY2022,12,1,25,5,Neware,36,3611,10/11/2022,9/6/2023 20:47,4/11/2023,,,1.676034849,-27.47324647,139.3841899,,3611,3611,
180,181,GMJULY2022,15,1,25,5,Neware,36,3612,10/11/2022,9/6/2023 20:48,,,,1.752913869,-28.80293126,145.1397154,,3612,3612,
122,123,GMJULY2022,44,4A,25,5,Neware,36,3613,9/29/2022,9/6/2023 20:48,,,,1.719643173,-28.12328877,141.7999047,,3613,3613,
116,117,GMJULY2022,47,2,25,25,Neware,36,3614,10/11/2022,9/6/2023 20:48,,,,1.994250318,-32.87067087,162.3562953,,3614,3614,
126,127,GMJULY2022,42,2,25,15,Neware,36,3615,10/11/2022,9/6/2023 20:48,,,,1.798396574,-29.29775175,146.1426246,,3615,3615,
164,165,GMJULY2022,23,4A,25,5,Neware,36,3616,9/29/2022,9/6/2023 20:48,,,,1.810062193,-29.76525879,149.214289,,3616,3616,
112,113,GMJULY2022,49,2,25,25,Neware,36,3617,10/11/2022,9/6/2023 20:48,,,,1.881834043,-30.67501634,151.8225791,,3617,3617,
20,21,GMJULY2022,95,1,25,5,Neware,36,3618,9/7/2022,9/6/2023 20:49,,,,1.905090974,-30.84321886,151.6531597,,3618,3618,
52,53,GMJULY2022,79,2,25,25,Neware,36,3621,10/11/2022,9/5/2023 23:02,,,,1.864219137,-30.4072359,150.7945334,,3621,3621,
158,159,GMJULY2022,26,6A,25,25,Neware,36,3622,9/29/2022,9/6/2023 20:48,,,,1.892403185,-31.00469512,153.8289903,,3622,3622,
110,111,GMJULY2022,50,2,25,15,Neware,36,3623,10/11/2022,9/6/2023 20:48,,,,1.798942861,-29.20710296,145.3776374,,3623,3623,
76,77,GMJULY2022,67,4A,25,5,Neware,36,3624,9/29/2022,12/1/2022 18:04,1/4/2023,,,,,,,3624,3624,
178,179,GMJULY2022,16,11,25,5,Neware,36,3624,1/11/2023,9/6/2023 19:47,,,,,,,,3624,3624,
30,31,GMJULY2022,90,2,25,15,Neware,36,3625,10/11/2022,9/6/2023 20:48,,,,1.896749705,-30.87611086,152.5140641,,3625,3625,
34,35,GMJULY2022,88,4B,25,5,Neware,36,3626,9/29/2022,9/6/2023 20:48,,,,1.753930656,-28.96335998,146.327949,,3626,3626,
106,107,GMJULY2022,52,6A,25,25,Neware,36,3627,9/29/2022,9/6/2023 20:48,,,,1.831304277,-29.87935584,148.6660677,,3627,3627,
16,17,GMJULY2022,97,6A,25,25,Neware,36,3628,9/29/2022,9/6/2023 20:49,,,,,,,,3628,3628,
128,129,GMJULY2022,41,4B,25,5,Neware,36,3631,9/29/2022,9/6/2023 20:48,,,,1.818920715,-29.70703504,148.1854457,,3631,3631,
48,49,GMJULY2022,81,4B,25,5,Neware,36,3632,9/29/2022,9/6/2023 20:48,,,,1.837917785,-30.19969839,150.8609995,,3632,3632,
24,25,GMJULY2022,93,8A,25,5,Neware,36,3633,10/11/2022,9/6/2023 20:48,,,,1.67175828,-27.43773175,139.4080524,,3633,3633,
142,143,GMJULY2022,34,8A,25,5,Neware,36,3634,10/11/2022,9/6/2023 20:48,,,,,,,,3634,3634,
154,155,GMJULY2022,28,8B,25,5,Neware,36,3635,10/11/2022,9/6/2023 20:48,,,,1.829964089,-29.87056621,148.6820791,,3635,3635,
120,121,GMJULY2022,45,6A,25,15,Neware,36,3636,9/29/2022,9/6/2023 20:48,,,,1.855988629,-30.42840895,151.5923016,,3636,3636,
36,37,GMJULY2022,87,8B,25,5,Neware,36,3637,10/11/2022,9/6/2023 20:48,,,,1.742385468,-28.4691663,143.0958414,,3637,3637,
58,59,GMJULY2022,76,6A,25,15,Neware,36,3638,9/29/2022,9/6/2023 20:48,,,,,,,,3638,3638,
174,175,GMJULY2022,18,1,25,5,Neware,36,3641,1/10/2023,9/6/2023 20:48,,,Also started cycling with 8B on 09/29/2022,1.857785069,-30.41682296,151.3886886,,3641,3641,
14,15,GMJULY2022,98,1,25,5,Neware,36,3642,9/29/2022,9/6/2023 20:49,,,,1.658068541,-27.42317849,140.2527737,,3642,3642,
88,89,GMJULY2022,61,6A,25,15,Neware,36,3643,9/29/2022,9/6/2023 20:48,,,,1.797924147,-29.3872126,146.971198,,3643,3643,
18,19,GMJULY2022,96,6B,25,15,Neware,36,3644,9/30/2022,9/6/2023 20:18,,,,1.567648017,-26.39816081,137.9908023,,3644,3644,
4,5,GMJULY2022,103,6B,25,25,Neware,36,3645,9/30/2022,9/6/2023 20:49,,,,1.945663677,-31.6109195,155.2224639,,3645,3645,
40,41,GMJULY2022,85,6B,25,25,Neware,36,3646,9/30/2022,9/6/2023 20:48,,,,2.080994839,-33.8625797,164.6065633,,3646,3646,
102,103,GMJULY2022,54,6B,25,15,Neware,36,3647,9/30/2022,9/6/2023 20:48,,,,1.876389846,-30.68923595,152.3314501,,3647,3647,
202,203,GMJULY2022,4,8C,25,25,Neware,36,3648,9/30/2022,9/6/2023 20:47,,,,2.025176967,-32.61747422,158.2470654,,3648,3648,
98,99,GMJULY2022,56,8C,25,25,Neware,37,3711,9/29/2022,9/6/2023 20:48,,,,1.908969259,-31.02259513,152.8547563,,3711,3711,
184,185,GMJULY2022,13,6B,25,15,Neware,37,3712,9/29/2022,9/6/2023 20:47,,,,1.911113122,-30.77990755,150.7451479,,3712,3712,
108,109,GMJULY2022,51,10,25,5,Neware,37,3713,1/10/2023,9/6/2023 20:48,,,,,,,,3713,3713,
148,149,GMJULY2022,31,13,25,0,Neware,37,3713,9/30/2022,12/1/2022 18:39,1/4/2023,,,,,,,3713,3713,Not in log file
44,45,GMJULY2022,83,10,25,5,Neware,37,3714,1/11/2023,9/6/2023 20:48,,,,,,,,3714,3714,
100,101,GMJULY2022,55,14,25,5,Neware,37,3714,9/30/2022,12/1/2022 18:43,1/4/2023,,,,,,,3714,3714,Not in log file
134,135,GMJULY2022,38,13,25,0,Neware,37,3715,9/30/2022,12/1/2022 18:39,1/4/2023,,,,,,,3715,3715,Not in log file
138,139,GMJULY2022,36,10,25,5,Neware,37,3715,1/11/2023,9/6/2023 20:48,,,,,,,,3715,3715,
68,69,GMJULY2022,71,15,25,5,Neware,37,3716,1/10/2023,9/6/2023 20:48,,,,,,,,3716,3716,
78,79,GMJULY2022,66,14,25,5,Neware,37,3716,9/30/2022,12/1/2022 18:46,1/4/2023,,,,,,,3716,3716,Not in log file
42,43,GMJULY2022,84,15,25,5,Neware,37,3717,1/11/2023,9/5/2023 23:02,,,,1.933820477,-31.53889002,155.5112283,,3717,3717,
114,115,GMJULY2022,48,13,25,0,Neware,37,3717,9/30/2022,12/1/2022 18:39,1/4/2023,,,,,,,3717,3717,Not in log file
176,177,GMJULY2022,17,6B,25,25,Neware,37,3718,9/29/2022,9/6/2023 20:48,,,,2.100628857,-33.63173224,161.5109007,,3718,3718,
206,207,GMJULY2022,2,3,0,5,Neware,37,3721,10/18/2022,5/6/2023 10:31,1/30/2023,,,2.07780128,-33.29776527,160.3332761,,3721,3721,
245,246,GMFEB23S,58,Formation,,15,R-Arbin,,36,4/11/2023,4/24/2023 12:04,4/18/2023,,,2.099528211,-34.59947294,169.4758533,25,,,Not in log file
82,83,GMJULY2022,64,3,0,5,Neware,37,3722,10/18/2022,5/6/2023 10:20,1/30/2023,,,2.047778819,-33.3213546,162.4578716,,3722,3722,
244,245,GMFEB23S,58,,,,,,3537,,4/24/2023 12:04,,,,2.172663669,-34.9928691,167.7683512,,,,Not in log file
66,67,GMJULY2022,72,3,0,5,Neware,37,3723,10/18/2022,5/6/2023 10:31,3/7/2023,,,2.147424995,-34.26995076,163.5731604,,3723,3723,
344,345,GMFEB23S,59,9,25,15,L-Arbin,,7,5/31/2023,9/6/2023 14:02,,,,1.872136381,-31.1471793,156.4283171,,,,Not in log file
56,57,GMJULY2022,77,5,0,15,Neware,37,3724,10/18/2022,7/11/2023 10:56,,,,,,,,3724,3724,
168,169,GMJULY2022,21,5,0,15,Neware,37,3725,10/17/2022,8/18/2023 17:32,7/11/2023,,,2.114793918,-34.25745442,165.6279922,,3725,3725,
192,193,GMJULY2022,9,5,0,15,Neware,37,3726,10/17/2022,8/18/2023 17:32,,,,1.859209688,-30.5597424,152.4668222,,3726,3726,
50,51,GMJULY2022,80,5,0,25,Neware,37,3727,10/17/2022,8/18/2023 17:32,,,,1.769455957,-29.00358088,145.7297411,,3727,3727,
130,131,GMJULY2022,40,5,0,25,Neware,37,3728,10/18/2022,7/11/2023 10:56,,,,,,,,3728,3728,
200,201,GMJULY2022,5,8A,0,5,Neware,37,3731,10/18/2022,9/6/2023 20:33,,,,1.901965039,-31.13231221,154.2526859,,3731,3731,
0,1,GMJULY2022,105,8C,0,5,Neware,37,3732,10/18/2022,9/6/2023 20:36,,,,1.840437707,-30.33744473,151.9173582,,3732,3732,
72,73,GMJULY2022,69,8C,0,5,Neware,37,3733,10/18/2022,9/6/2023 20:37,,,,1.880386845,-30.68461853,152.0676966,,3733,3733,
360,361,UMBL2022FEB,152097,2,0,5,Neware,37,3734,9/9/2022,9/7/2023 21:50,,,,,,,,3734,3734,
372,373,UMBL2022FEB,152091,15,0,5,Neware,37,3735,9/9/2022,9/7/2023 21:50,,,,,,,,3735,3735,
442,443,UMBL2022FEB,152051,2,0,5,Neware,37,3736,9/9/2022,9/7/2023 21:50,,,,,,,,3736,3736,
380,381,UMBL2022FEB,152087,2,0,5,Neware,37,3737,9/9/2022,9/7/2023 21:50,,,,,,,,3737,3737,
362,363,UMBL2022FEB,152096,12,45,5,Neware,?,?,6/23/2023,9/6/2023 11:05,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
370,371,UMBL2022FEB,152092,?,?,?,Neware,?,?,6/23/2023,6/23/2023 12:04,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
374,375,UMBL2022FEB,152090,10,45,5,Neware,?,?,6/23/2023,6/23/2023 12:19,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
388,389,UMBL2022FEB,152083,14,0,5,Neware,?,?,6/23/2023,6/23/2023 13:10,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
402,403,UMBL2022FEB,152073,15,0,5,Neware,?,?,6/23/2023,6/23/2023 12:08,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
446,447,UMBL2022FEB,152049,?,?,?,Neware,?,?,6/23/2023,6/23/2023 12:05,,,Formed and unaged. In fire cabinet,,,,,,,Not in log file
345,346,GMFEB23S,59,Formation,,15,R-Arbin,,35,4/11/2023,9/6/2023 14:02,4/18/2023,,,1.822464634,-30.4303002,153.9388701,25,,,Not in log file
241,242,GMFEB23S,60,Formation,,15,R-Arbin,,34,4/11/2023,4/24/2023 12:04,4/18/2023,,,3.231549156,-51.04427368,228.524237,25,,,Not in log file
240,241,GMFEB23S,60,,,,,,3622,,4/24/2023 12:04,,,,1.892403185,-31.00469512,153.8289903,,,,Not in log file
314,315,GMFEB23S,61,3,25,15,L-Arbin,,30,5/31/2023,9/6/2023 14:02,,,,1.691733426,-28.49117784,146.8284887,,,,Not in log file
41,42,GMJULY2022,85,Formation,,,Arbin,,,,9/6/2023 20:48,,,,,,,25,,,Not in log file
43,44,GMJULY2022,84,Formation,,,Arbin,,,,9/5/2023 23:02,,,,,,,25,,,Not in log file
45,46,GMJULY2022,83,Formation,,,Arbin,,,,9/6/2023 20:48,,,,,,,25,,,Not in log file
46,47,GMJULY2022,82,,,,Neware,,,,11/13/2022 9:27,,,Unallocated,,,,,,,Not in log file
47,48,GMJULY2022,82,Formation,,,Arbin,,,,11/13/2022 9:27,,,Unallocated,,,,25,,,Not in log file
49,50,GMJULY2022,81,Formation,,,Arbin,,,,9/6/2023 20:48,,,,,,,25,,,Not in log file
51,52,GMJULY2022,80,Formation,,,Arbin,,,,8/18/2023 17:32,,,,,,,25,,,Not in log file
53,54,GMJULY2022,79,Formation,,,Arbin,,,,9/5/2023 23:02,,,,,,,25,,,Not in log file
54,55,GMJULY2022,78,,,,Neware,,,,7/11/2023 10:56,,,,,,,,,,Not in log file
55,56,GMJULY2022,78,Formation,,,Arbin,,,,7/11/2023 10:56,,,,,,,25,,,Not in log file
57,58,GMJULY2022,77,Formation,,,Arbin,,,,7/11/2023 10:56,,,,,,,25,,,Not in log file
59,60,GMJULY2022,76,Formation,,,Arbin,,,,9/6/2023 20:48,,,,,,,25,,,Not in log file
60,61,GMJULY2022,75,,,,Neware,,,,7/10/2022 9:12,,,Unallocated - GM,,,,,,,Not in log file
61,62,GMJULY2022,75,Formation,,,Arbin,,,,7/10/2022 9:12,,,Unallocated - GM,,,,25,,,Not in log file
63,64,GMJULY2022,74,Formation,,,Arbin,,,,8/18/2023 13:34,,,,,,,25,,,Not in log file
65,66,GMJULY2022,73,Formation,,,Arbin,,,,6/26/2023 0:43,,,Unallocated,,,,25,,,Not in log file
